WARNING 2025-05-15 09:22:42,602 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-15 09:25:08,373 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 09:25:08,701 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:25:08,701 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:25:08,701 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:25:08,701 __init__ Creating converter from 5 to 7
WARNING 2025-05-15 09:25:10,968 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-15 09:29:30,262 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 09:29:32,547 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:29:32,547 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:29:32,547 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:29:32,547 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:30:21,643 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 09:30:21,969 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:30:21,969 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:30:21,969 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:30:21,969 __init__ Creating converter from 5 to 7
WARNING 2025-05-15 09:30:24,584 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-15 09:47:40,933 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 09:47:41,234 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:47:41,234 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:47:41,234 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:47:41,234 __init__ Creating converter from 5 to 7
WARNING 2025-05-15 09:47:42,853 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-15 09:51:00,449 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 09:51:00,766 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:51:00,766 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 09:51:00,766 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 09:51:00,766 __init__ Creating converter from 5 to 7
WARNING 2025-05-15 09:51:02,340 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-15 10:12:40,874 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 10:12:44,474 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:12:44,474 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:12:44,474 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:12:44,474 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:12:51,848 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 10:12:52,103 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:12:52,103 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:12:52,103 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:12:52,103 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:13:08,940 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 10:13:09,166 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:13:09,166 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:13:09,166 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:13:09,166 __init__ Creating converter from 5 to 7
INFO 2025-05-15 10:34:32,912 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-15 10:34:34,035 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-15 10:34:34,258 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:34:34,258 __init__ Creating converter from 5 to 7
DEBUG 2025-05-15 10:34:34,258 __init__ Creating converter from 7 to 5
DEBUG 2025-05-15 10:34:34,258 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:12:34,019 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:12:37,694 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:12:37,694 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:12:37,694 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:12:37,694 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:14:55,860 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:14:56,155 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:14:56,155 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:14:56,155 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:14:56,155 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:14:58,270 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-16 11:15:11,197 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:15:11,489 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:15:11,489 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:15:11,489 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:15:11,489 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:15:13,596 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 11:15:37,476 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 11:15:39,024 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:15:39,299 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:15:39,299 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:15:39,299 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:15:39,299 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:15:41,212 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

WARNING 2025-05-16 11:15:53,831 log Not Found: /
WARNING 2025-05-16 11:15:53,997 log Not Found: /favicon.ico
WARNING 2025-05-16 11:16:13,382 log Not Found: /verification
INFO 2025-05-16 11:18:16,062 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 11:18:17,205 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 11:18:18,985 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:18:19,279 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:18:19,279 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:18:19,279 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:18:19,279 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:18:21,333 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 11:20:05,319 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 11:20:06,403 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 11:20:08,211 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:20:08,489 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:20:08,489 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:20:08,489 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:20:08,489 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:20:11,049 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

INFO 2025-05-16 11:20:14,452 autoreload C:\Users\PRUTHVEE RAJ\PROJECT\EduVerify\urls.py changed, reloading.
INFO 2025-05-16 11:21:41,829 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 11:21:43,782 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:21:44,109 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:21:44,109 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:21:44,109 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:21:44,109 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:21:46,456 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

WARNING 2025-05-16 11:22:49,162 log Not Found: /verification
WARNING 2025-05-16 11:23:02,061 log Not Found: /verification/urls
WARNING 2025-05-16 11:23:22,998 log Not Found: /verification/check
WARNING 2025-05-16 11:23:27,313 log Not Found: /verification/admin
INFO 2025-05-16 11:35:52,640 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-16 11:35:54,271 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 11:35:54,566 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:35:54,566 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 11:35:54,566 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 11:35:54,566 __init__ Creating converter from 5 to 7
WARNING 2025-05-16 11:35:56,611 module_wrapper From C:\Users\PRUTHVEE RAJ\PROJECT\eduVenv310\lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

DEBUG 2025-05-16 12:02:31,251 tpu_cluster_resolver Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
DEBUG 2025-05-16 12:02:31,533 __init__ Creating converter from 7 to 5
DEBUG 2025-05-16 12:02:31,533 __init__ Creating converter from 5 to 7
DEBUG 2025-05-16 12:02:31,533 __init__ Creating converter from 7 to 5
